Date,relative_diff
2005-02-22,-0.3442735827404145
2005-02-23,-0.20727775218793967
2005-02-24,0.39233787214401505
2005-02-25,0.04597701149426006
2005-02-28,-0.6893382352941274
2005-03-01,0.06941230911615257
2005-03-02,-0.6473988439306385
2005-03-03,0.9541540609727803
2005-03-04,0.20746887966804126
2005-03-07,1.2882447665056413
2005-03-08,-0.02271178741766525
2005-03-09,0.40890504316219833
2005-03-10,0.5203619909502192
2005-03-11,-0.9002925950934022
2005-03-14,0.0681353622530119
2005-03-15,0.5674080798910576
2005-03-16,-1.10584518167457
2005-03-17,0.15974440894568756
2005-03-18,-1.8227386648439214
2005-03-21,-1.0211185889997791
2005-03-22,-0.5392731535756081
2005-03-23,-0.0707213578500734
2005-03-24,0.35385704175512755
2005-03-28,0.04701457451810796
2005-03-29,0.11748120300751211
2005-03-30,0.492842055855435
2005-03-31,-0.4670714619336825
2005-04-01,-0.5161895823556989
2005-04-04,0.11792452830189686
2005-04-05,0.42402826855123604
2005-04-06,-0.14074595355384065
2005-04-07,0.28188865398167123
2005-04-08,0.21082220660577047
2005-04-11,0.1402524544179576
2005-04-12,0.1400560224089523
2005-04-13,-1.3752913752913667
2005-04-14,0.21271567005435194
2005-04-15,0.6839622641509414
2005-04-18,1.3820566877488953
2005-04-19,0.2772643253234691
2005-04-20,-0.48387096774193744
2005-04-21,0.4630701551285086
2005-04-22,0.11523392486747444
2005-04-25,0.46040515653775976
2005-04-26,-1.0082493125572816
2005-04-27,-0.4629629629629695
2005-04-28,0.8139534883720964
2005-04-29,-1.084198385236445
2005-05-02,-0.2798507462686673
2005-05-03,0.32740879326473477
2005-05-04,0.023310023310018673
2005-05-05,-0.9088790491726718
2005-05-06,0.07055503292566799
2005-05-09,0.21151586368978476
2005-05-10,0.11726078799248864
2005-05-11,-1.2415085500117151
2005-05-12,-0.49810246679315406
2005-05-13,-0.16686531585220568
2005-05-16,-0.047755491881573846
2005-05-17,0.4538939321547963
2005-05-18,-0.16646848989298524
2005-05-19,-0.786088613625532
2005-05-20,-0.07202881152461257
2005-05-23,0.26429601153291554
2005-05-24,0.3354900551162247
2005-05-25,-0.42990207786004236
2005-05-26,0.45574478292157555
2005-05-27,-0.5491881566380228
2005-05-31,-0.28811524609843325
2005-06-01,1.3725018059234295
2005-06-02,0.16627078384798166
2005-06-03,0.735119753379168
2005-06-06,-0.2354048964218322
2005-06-07,-0.09438414346389605
2005-06-08,-0.1653282947567319
2005-06-09,0.8280104092737031
2005-06-10,0.3754106053496098
2005-06-13,-0.42075736325385626
2005-06-14,0.32863849765258346
2005-06-15,1.6846045858680365
2005-06-16,0.3911642890013845
2005-06-17,0.06876002750399732
2005-06-20,0.34356390288594985
2005-06-21,-0.20543254964620727
2005-06-22,0.6861848124428277
2005-06-23,-0.27260336210814295
2005-06-24,0.022779043280177703
2005-06-27,-1.0475973582327347
2005-06-28,0.41426927502876804
2005-06-29,-0.43548017419208074
2005-06-30,-1.7034990791896751
2005-07-01,-0.9836065573770532
2005-07-05,-0.07095553453169616
2005-07-06,0.2603550295857975
2005-07-07,-0.23607176581681166
2005-07-08,0.6625650733554216
2005-07-11,0.2350728725905064
2005-07-12,-0.6801125703564708
2005-07-13,-1.0625737898465237
2005-07-14,0.35799522673030687
2005-07-15,-0.09512485136741772
2005-07-18,-0.2856462746964948
2005-07-19,0.7400334208641735
2005-07-20,0.6161137440758246
2005-07-21,-0.02355157795571835
2005-07-22,0.14134275618373418
2005-07-25,-0.6116207951070289
2005-07-26,0.44970414201182896
2005-07-27,0.7304429783223428
2005-07-28,0.1637426900584802
2005-07-29,0.7239607659972028
2005-08-01,0.02318571759795504
2005-08-02,0.9040333796940208
2005-08-03,0.3445899379738079
2005-08-04,-0.18315018315017925
2005-08-05,-0.573394495412844
2005-08-08,-0.02306805074970706
2005-08-09,0.7152745731425822
2005-08-10,1.8327605956472035
2005-08-11,0.08998875140607232
2005-08-12,-0.8091706001348604
2005-08-15,0.9517335146158953
2005-08-16,-1.4365881032547714
2005-08-17,-0.1821908449100394
2005-08-18,-0.5247547342003123
2005-08-19,0.22935779816514087
2005-08-22,0.13729977116703698
2005-08-23,-0.38848263254112114
2005-08-24,0.3211745813259772
2005-08-25,-0.27441115938714256
2005-08-26,-0.09172208209126152
2005-08-29,-1.285288042230898
2005-08-30,0.9067658684026985
2005-08-31,1.8894009216589869
2005-09-01,0.06784260515604057
2005-09-02,0.045197740113001414
2005-09-06,0.13553196295458586
2005-09-07,0.6090683510038419
2005-09-08,0.5381165919282556
2005-09-09,0.11150758251560472
2005-09-12,-0.7351303185564676
2005-09-13,0.897666068222618
2005-09-14,1.0231316725978667
2005-09-15,0.8806693086745895
2005-09-16,0.9384548232213001
2005-09-19,-0.043243243243250004
2005-09-20,1.7953709712308143
2005-09-21,-1.4874628134296701
2005-09-22,-0.17256255392579442
2005-09-23,0.6266205704407933
2005-09-26,-0.6871376422589656
2005-09-27,1.189189189189183
2005-09-28,0.6410256410256502
2005-09-29,-0.8492569002123111
2005-09-30,-0.5995717344753771
2005-10-03,0.06462731581215238
2005-10-04,-0.19375672766416233
2005-10-05,1.833477135461608
2005-10-06,0.3177292946409629
2005-10-07,0.021114864864860663
2005-10-10,0.04222081486173344
2005-10-11,-1.1394809031441213
2005-10-12,0.3628601921024583
2005-10-13,-0.46788600595492547
2005-10-14,0.9829059829059847
2005-10-17,-0.5501481168006729
2005-10-18,-1.4042553191489289
2005-10-19,-0.7768666378938422
2005-10-20,1.1744236624619537
2005-10-21,-0.2794496990541757
